task_id,pf,guard_used,condition,rollout_id,selection_reason,source_type,source_ref
lean4-proof,PASS,false,original-skill,lean4-proof-original-skill-r001,reuse-reviewed-core22-selection,windows,evaluation/results/OfficialSkillBaseline-Core22-20260916/tasks/lean4-proof/original_run
pddl-tpp-planning,PASS,true,original-skill,pddl-tpp-planning-completion-guard-exp-r001,reuse-reviewed-core22-selection,windows,evaluation/results/OfficialSkillBaseline-Core22-20260916/tasks/pddl-tpp-planning/original_run
paratransit-routing,PASS,true,original-skill,paratransit-routing-original-skill-guard-r002,reuse-reviewed-core22-selection,windows,evaluation/results/OfficialSkillBaseline-Core22-20260916/tasks/paratransit-routing/original_run
threejs-to-obj,PASS,false,original-skill,threejs-to-obj-original-skill-r002,reuse-reviewed-core22-selection,windows,evaluation/results/OfficialSkillBaseline-Core22-20260916/tasks/threejs-to-obj/original_run
mario-coin-counting,PASS,false,original-skill,mario-coin-counting-original-skill-r004,reuse-reviewed-core22-selection,windows,evaluation/results/OfficialSkillBaseline-Core22-20260916/tasks/mario-coin-counting/original_run
video-silence-remover,FAIL,false,original-skill,video-silence-remover-original-skill-r001,reuse-reviewed-core22-selection,windows,evaluation/results/OfficialSkillBaseline-Core22-20260916/tasks/video-silence-remover/original_run
exoplanet-detection-period,FAIL,false,original-skill,exoplanet-detection-period-original-skill-r001,reuse-reviewed-core22-selection,windows,evaluation/results/OfficialSkillBaseline-Core22-20260916/tasks/exoplanet-detection-period/original_run
crystallographic-wyckoff-position-analysis,PASS,false,original-skill,crystallographic-wyckoff-position-analysis-original-skill-r001,reuse-reviewed-core22-selection,windows,evaluation/results/OfficialSkillBaseline-Core22-20260916/tasks/crystallographic-wyckoff-position-analysis/original_run
glm-lake-mendota,PASS,false,original-skill,glm-lake-mendota-original-skill-r001,reuse-reviewed-core22-selection,windows,evaluation/results/OfficialSkillBaseline-Core22-20260916/tasks/glm-lake-mendota/original_run
court-form-filling,PASS,false,original-skill,court-form-filling-original-skill-r001,reuse-reviewed-core22-selection,windows,evaluation/results/OfficialSkillBaseline-Core22-20260916/tasks/court-form-filling/original_run
pptx-reference-formatting,PASS,true,original-skill,pptx-reference-formatting-completion-guard-exp-r001,reuse-reviewed-core22-selection,windows,evaluation/results/OfficialSkillBaseline-Core22-20260916/tasks/pptx-reference-formatting/original_run
sales-pivot-analysis,PASS,false,original-skill,sales-pivot-analysis-original-skill-r003,reuse-reviewed-core22-selection,windows,evaluation/results/OfficialSkillBaseline-Core22-20260916/tasks/sales-pivot-analysis/original_run
dialogue-parser,FAIL,false,original-skill,dialogue-parser-gpt52-original-v4-r000,reuse-reviewed-core22-selection,windows_external,evaluation/results/OfficialSkillBaseline-Core22-20260916/tasks/dialogue-parser/original_run
python-scala-translation,FAIL,false,original-skill,python-scala-translation-original-skill-r003,reuse-reviewed-core22-selection,windows,evaluation/results/OfficialSkillBaseline-Core22-20260916/tasks/python-scala-translation/original_run
fix-visual-stability,PASS,false,original-skill,fix-visual-stability-original-skill-r001,reuse-reviewed-core22-selection,windows,evaluation/results/OfficialSkillBaseline-Core22-20260916/tasks/fix-visual-stability/original_run
adaptive-cruise-control,PASS,false,original-skill,adaptive-cruise-control-original-skill-v11x-20260903-r002,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/adaptive-cruise-control-original-skill-v11x-20260903-r002
azure-bgp-oscillation-route-leak,FAIL,false,original-skill,azure-bgp-oscillation-route-leak-original-skill-v11x-20260907-guarddiag-infra-r002,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/azure-bgp-oscillation-route-leak-original-skill-v11x-20260907-guarddiag-infra-r002
citation-check,PASS,false,original-skill,citation-check-original-skill-v11x-20260908-guarddiag-infra-r003,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/citation-check-original-skill-v11x-20260908-guarddiag-infra-r003
civ6-adjacency-optimizer,FAIL,false,original-skill,civ6-adjacency-optimizer-original-skill-v11x-20260903-r002,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/civ6-adjacency-optimizer-original-skill-v11x-20260903-r002
dapt-intrusion-detection,PASS,false,original-skill,dapt-intrusion-detection-original-skill-v11x-20260907-guarddiag-infra-r003,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/dapt-intrusion-detection-original-skill-v11x-20260907-guarddiag-infra-r003
drone-planning-control,FAIL,false,original-skill,drone-planning-control-original-skill-v11x-20260908-guarddiag-infra-r004,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/drone-planning-control-original-skill-v11x-20260908-guarddiag-infra-r004
enterprise-information-search,FAIL,false,original-skill,enterprise-information-search-original-skill-r002,latest-valid-original-skill,windows,SkillGen-benchmarking/manual_annotation_runs/enterprise-information-search/runs/manual-annotation/enterprise-information-search-original-skill-r002
financial-modeling-qa,FAIL,false,original-skill,financial-modeling-qa-original-skill-v11x-20260903-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/financial-modeling-qa-original-skill-v11x-20260903-r001
grid-dispatch-operator,PASS,false,original-skill,grid-dispatch-operator-original-skill-v11x-20260903-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/grid-dispatch-operator-original-skill-v11x-20260903-r001
jax-computing-basics,PASS,false,original-skill,jax-computing-basics-original-skill-v11x-20260903-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/jax-computing-basics-original-skill-v11x-20260903-r001
llm-prefix-cache-replay,PASS,false,original-skill,llm-prefix-cache-replay-original-skill-v11x-20260903-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/llm-prefix-cache-replay-original-skill-v11x-20260903-r001
pddl-airport-planning,FAIL,false,original-skill,pddl-airport-planning-original-skill-v11x-20260908-guarddiag-infra-r003,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/pddl-airport-planning-original-skill-v11x-20260908-guarddiag-infra-r003
powerlifting-coef-calc,PASS,false,original-skill,powerlifting-coef-calc-original-skill-v11x-20260903-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/powerlifting-coef-calc-original-skill-v11x-20260903-r001
radar-vital-signs,PASS,false,original-skill,radar-vital-signs-original-skill-v11x-20260903-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/radar-vital-signs-original-skill-v11x-20260903-r001
reserves-at-risk-calc,FAIL,false,original-skill,reserves-at-risk-calc-original-skill-v11x-20260903-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/reserves-at-risk-calc-original-skill-v11x-20260903-r001
simpo-code-reproduction,FAIL,false,original-skill,simpo-code-reproduction-original-skill-v11x-20260908-guarddiag-infra-r003,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/simpo-code-reproduction-original-skill-v11x-20260908-guarddiag-infra-r003
hvac-control,PASS,false,original-skill,hvac-control-original-skill-v11x-20260908-guarddiag-infra-r003,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/hvac-control-original-skill-v11x-20260908-guarddiag-infra-r003
debug-trl-grpo,PASS,false,original-skill,debug-trl-grpo-original-skill-v11x-20260903-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/debug-trl-grpo-original-skill-v11x-20260903-r001
setup-fuzzing-py,FAIL,false,original-skill,setup-fuzzing-py-original-skill-v11x-20260903-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/setup-fuzzing-py-original-skill-v11x-20260903-r001
ada-bathroom-plan-repair,PASS,false,original-skill,ada-bathroom-plan-repair-original-skill-v11x-20260903-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/ada-bathroom-plan-repair-original-skill-v11x-20260903-r001
earthquake-plate-calculation,PASS,false,original-skill,earthquake-plate-calculation-original-skill-v11x-20260903-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/earthquake-plate-calculation-original-skill-v11x-20260903-r001
econ-detrending-correlation,PASS,false,original-skill,econ-detrending-correlation-original-skill-v11x-20260903-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/econ-detrending-correlation-original-skill-v11x-20260903-r001
edit-pdf,PASS,false,original-skill,edit-pdf-original-skill-v11x-20260903-r002,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/edit-pdf-original-skill-v11x-20260903-r002
energy-market-pricing,FAIL,false,original-skill,energy-market-pricing-original-skill-v11x-20260908-guarddiag-infra-r003,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/energy-market-pricing-original-skill-v11x-20260908-guarddiag-infra-r003
exam-block-sequencing,PASS,false,original-skill,exam-block-sequencing-original-skill-v11x-20260908-guarddiag-infra-r003,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/exam-block-sequencing-original-skill-v11x-20260908-guarddiag-infra-r003
exceltable-in-ppt,FAIL,false,original-skill,exceltable-in-ppt-original-skill-v11x-20260907-guarddiag-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/exceltable-in-ppt-original-skill-v11x-20260907-guarddiag-r001
flood-risk-analysis,PASS,false,original-skill,flood-risk-analysis-original-skill-v11x-20260903-r001-recovery001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/flood-risk-analysis-original-skill-v11x-20260903-r001-recovery001
lake-warming-attribution,PASS,false,original-skill,lake-warming-attribution-original-skill-v11x-20260903-r001-recovery001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/lake-warming-attribution-original-skill-v11x-20260903-r001-recovery001
offer-letter-generator,PASS,false,original-skill,offer-letter-generator-original-skill-v11x-20260908-guarddiag-infra-r003,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/offer-letter-generator-original-skill-v11x-20260908-guarddiag-infra-r003
paper-anonymizer,FAIL,false,original-skill,paper-anonymizer-original-skill-v11x-20260908-guarddiag-infra-r003,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/paper-anonymizer-original-skill-v11x-20260908-guarddiag-infra-r003
pdf-excel-diff,PASS,false,original-skill,pdf-excel-diff-original-skill-v11x-20260903-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/pdf-excel-diff-original-skill-v11x-20260903-r001
shock-analysis-demand,FAIL,false,original-skill,shock-analysis-demand-original-skill-v11x-20260908-guarddiag-infra-r003,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/shock-analysis-demand-original-skill-v11x-20260908-guarddiag-infra-r003
shock-analysis-supply,FAIL,false,original-skill,shock-analysis-supply-original-skill-v11x-20260908-guarddiag-infra-r003,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/shock-analysis-supply-original-skill-v11x-20260908-guarddiag-infra-r003
spring-boot-jakarta-migration,PASS,false,original-skill,spring-boot-jakarta-migration-original-skill-v11x-20260903-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/spring-boot-jakarta-migration-original-skill-v11x-20260903-r001
threejs-structure-parser,PASS,false,original-skill,threejs-structure-parser-original-skill-v11x-20260903-r001-recovery001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/threejs-structure-parser-original-skill-v11x-20260903-r001-recovery001
tictoc-unnecessary-abort-detection,PASS,false,original-skill,tictoc-unnecessary-abort-detection-original-skill-v11x-20260903-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/tictoc-unnecessary-abort-detection-original-skill-v11x-20260903-r001
data-to-d3,FAIL,false,original-skill,data-to-d3-original-skill-v11x-20260903-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/data-to-d3-original-skill-v11x-20260903-r001
dynamic-object-aware-egomotion,FAIL,false,original-skill,dynamic-object-aware-egomotion-original-skill-v11x-20260903-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/dynamic-object-aware-egomotion-original-skill-v11x-20260903-r001
lab-unit-harmonization,FAIL,false,original-skill,lab-unit-harmonization-original-skill-v11x-20260903-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/lab-unit-harmonization-original-skill-v11x-20260903-r001
manufacturing-equipment-maintenance,FAIL,false,original-skill,manufacturing-equipment-maintenance-original-skill-v11x-20260908-guarddiag-infra-r003,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/manufacturing-equipment-maintenance-original-skill-v11x-20260908-guarddiag-infra-r003
manufacturing-fjsp-optimization,PASS,false,original-skill,manufacturing-fjsp-optimization-original-skill-v11x-20260903-r002,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/manufacturing-fjsp-optimization-original-skill-v11x-20260903-r002
multilingual-video-dubbing,FAIL,false,original-skill,multilingual-video-dubbing-original-skill-v11x-20260903-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/multilingual-video-dubbing-original-skill-v11x-20260903-r001
react-performance-debugging,PASS,false,original-skill,react-performance-debugging-original-skill-v11x-20260903-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/react-performance-debugging-original-skill-v11x-20260903-r001
travel-planning,PASS,false,original-skill,travel-planning-original-skill-v11x-20260903-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/travel-planning-original-skill-v11x-20260903-r001
fix-build-agentops,FAIL,false,original-skill,fix-build-agentops-original-skill-v11x-20260903-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/fix-build-agentops-original-skill-v11x-20260903-r001
fix-build-google-auto,FAIL,false,original-skill,fix-build-google-auto-original-skill-v11x-20260903-r002,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/fix-build-google-auto-original-skill-v11x-20260903-r002
flink-query,FAIL,false,original-skill,flink-query-original-skill-v11x-20260903-r002,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/flink-query-original-skill-v11x-20260903-r002
jpg-ocr-stat,FAIL,false,original-skill,jpg-ocr-stat-original-skill-v11x-20260903-r001-recovery001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/jpg-ocr-stat-original-skill-v11x-20260903-r001-recovery001
mars-clouds-clustering,PASS,false,original-skill,mars-clouds-clustering-original-skill-v11x-20260903-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/mars-clouds-clustering-original-skill-v11x-20260903-r001
organize-messy-files,FAIL,false,original-skill,organize-messy-files-original-skill-v11x-20260903-r002,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/organize-messy-files-original-skill-v11x-20260903-r002
parallel-tfidf-search,PASS,false,original-skill,parallel-tfidf-search-original-skill-v11x-20260908-guarddiag-infra-r004,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/parallel-tfidf-search-original-skill-v11x-20260908-guarddiag-infra-r004
bike-rebalance,FAIL,false,original-skill,bike-rebalance-original-skill-v11x-20260908-guarddiag-infra-r003,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/bike-rebalance-original-skill-v11x-20260908-guarddiag-infra-r003
energy-ac-optimal-power-flow,PASS,false,original-skill,energy-ac-optimal-power-flow-original-skill-v11x-20260903-r001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/energy-ac-optimal-power-flow-original-skill-v11x-20260903-r001
energy-unit-commitment,FAIL,false,original-skill,energy-unit-commitment-original-skill-v11x-20260903-r002,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/energy-unit-commitment-original-skill-v11x-20260903-r002
protein-expression-analysis,PASS,false,original-skill,protein-expression-analysis-original-skill-v11x-20260903-r002,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/protein-expression-analysis-original-skill-v11x-20260903-r002
syzkaller-ppdev-syzlang,FAIL,false,original-skill,syzkaller-ppdev-syzlang-original-skill-v11x-20260903-r002,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/syzkaller-ppdev-syzlang-original-skill-v11x-20260903-r002
seismic-phase-picking,FAIL,false,original-skill,seismic-phase-picking-original-skill-v11x-20260903-r001-recovery001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/seismic-phase-picking-original-skill-v11x-20260903-r001-recovery001
earthquake-phase-association,PASS,false,original-skill,earthquake-phase-association-original-skill-v11x-20260903-r002-recovery001,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/earthquake-phase-association-original-skill-v11x-20260903-r002-recovery001
gravitational-wave-detection,PASS,false,original-skill,gravitational-wave-detection-original-skill-v11x-20260903-r002,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/gravitational-wave-detection-original-skill-v11x-20260903-r002
latex-formula-extraction,PASS,false,original-skill,latex-formula-extraction-original-skill-v11x-20260903-r002,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/latex-formula-extraction-original-skill-v11x-20260903-r002
quantum-numerical-simulation,FAIL,false,original-skill,quantum-numerical-simulation-original-skill-v11x-20260908-guarddiag-infra-r003,latest-valid-original-skill,windows,SkillGen-benchmarking/expanded_original_skill_runs/gpt52-openrouter-v1.1-20260903/runs/expanded-original-skill/quantum-numerical-simulation-original-skill-v11x-20260908-guarddiag-infra-r003
fix-druid-loophole-cve,FAIL,false,original-skill,fix-druid-loophole-cve-original-skill-server-r006,latest-valid-original-skill,windows,SkillGen-benchmarking/manual_annotation_runs/fix-druid-loophole-cve/original/server-r006
