task_id,audit_category,original_skill_status,guard_used,ground_truth_included,gold_defect_count,rollout_id,results_ref
court-form-filling,original_skill_pass,PASS,false,false,0,court-form-filling-original-skill-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/court-form-filling
pptx-reference-formatting,original_skill_pass,PASS,true,false,0,pptx-reference-formatting-completion-guard-exp-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/pptx-reference-formatting
sales-pivot-analysis,original_skill_pass,PASS,false,false,0,sales-pivot-analysis-original-skill-r003,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/sales-pivot-analysis
dialogue-parser,ground_truth,FAIL,false,true,1,dialogue-parser-gpt52-original-v4-r000,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/dialogue-parser
python-scala-translation,ground_truth,FAIL,false,true,3,python-scala-translation-original-skill-r003,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/python-scala-translation
fix-visual-stability,original_skill_pass,PASS,false,false,0,fix-visual-stability-original-skill-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/fix-visual-stability
adaptive-cruise-control,original_skill_pass,PASS,false,false,0,adaptive-cruise-control-original-skill-v11x-20260903-r002,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/adaptive-cruise-control
azure-bgp-oscillation-route-leak,ground_truth,FAIL,false,true,1,azure-bgp-oscillation-route-leak-original-skill-v11x-20260907-guarddiag-infra-r002,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/azure-bgp-oscillation-route-leak
citation-check,original_skill_pass,PASS,false,false,0,citation-check-original-skill-v11x-20260908-guarddiag-infra-r003,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/citation-check
civ6-adjacency-optimizer,excluded_benchmark_issue,FAIL,false,false,0,civ6-adjacency-optimizer-original-skill-v11x-20260903-r002,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/civ6-adjacency-optimizer
dapt-intrusion-detection,original_skill_pass,PASS,false,false,0,dapt-intrusion-detection-original-skill-v11x-20260907-guarddiag-infra-r003,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/dapt-intrusion-detection
drone-planning-control,ground_truth,FAIL,false,true,4,drone-planning-control-original-skill-v11x-20260908-guarddiag-infra-r004,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/drone-planning-control
enterprise-information-search,ground_truth,FAIL,false,true,1,enterprise-information-search-original-skill-r002,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/enterprise-information-search
financial-modeling-qa,excluded_benchmark_issue,FAIL,false,false,0,financial-modeling-qa-original-skill-v11x-20260903-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/financial-modeling-qa
grid-dispatch-operator,original_skill_pass,PASS,false,false,0,grid-dispatch-operator-original-skill-v11x-20260903-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/grid-dispatch-operator
jax-computing-basics,original_skill_pass,PASS,false,false,0,jax-computing-basics-original-skill-v11x-20260903-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/jax-computing-basics
llm-prefix-cache-replay,original_skill_pass,PASS,false,false,0,llm-prefix-cache-replay-original-skill-v11x-20260903-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/llm-prefix-cache-replay
pddl-airport-planning,ground_truth,FAIL,false,true,1,pddl-airport-planning-original-skill-v11x-20260908-guarddiag-infra-r003,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/pddl-airport-planning
powerlifting-coef-calc,original_skill_pass,PASS,false,false,0,powerlifting-coef-calc-original-skill-v11x-20260903-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/powerlifting-coef-calc
radar-vital-signs,original_skill_pass,PASS,false,false,0,radar-vital-signs-original-skill-v11x-20260903-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/radar-vital-signs
reserves-at-risk-calc,ground_truth,FAIL,false,true,2,reserves-at-risk-calc-original-skill-v11x-20260903-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/reserves-at-risk-calc
simpo-code-reproduction,ground_truth,FAIL,false,true,1,simpo-code-reproduction-original-skill-v11x-20260908-guarddiag-infra-r003,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/simpo-code-reproduction
hvac-control,original_skill_pass,PASS,false,false,0,hvac-control-original-skill-v11x-20260908-guarddiag-infra-r003,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/hvac-control
debug-trl-grpo,original_skill_pass,PASS,false,false,0,debug-trl-grpo-original-skill-v11x-20260903-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/debug-trl-grpo
setup-fuzzing-py,excluded_benchmark_issue,FAIL,false,false,0,setup-fuzzing-py-original-skill-v11x-20260903-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/setup-fuzzing-py
ada-bathroom-plan-repair,original_skill_pass,PASS,false,false,0,ada-bathroom-plan-repair-original-skill-v11x-20260903-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/ada-bathroom-plan-repair
earthquake-plate-calculation,original_skill_pass,PASS,false,false,0,earthquake-plate-calculation-original-skill-v11x-20260903-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/earthquake-plate-calculation
econ-detrending-correlation,original_skill_pass,PASS,false,false,0,econ-detrending-correlation-original-skill-v11x-20260903-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/econ-detrending-correlation
edit-pdf,original_skill_pass,PASS,false,false,0,edit-pdf-original-skill-v11x-20260903-r002,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/edit-pdf
energy-market-pricing,ground_truth,FAIL,false,true,1,energy-market-pricing-original-skill-v11x-20260908-guarddiag-infra-r003,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/energy-market-pricing
exam-block-sequencing,original_skill_pass,PASS,false,false,0,exam-block-sequencing-original-skill-v11x-20260908-guarddiag-infra-r003,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/exam-block-sequencing
exceltable-in-ppt,ground_truth,FAIL,false,true,1,exceltable-in-ppt-original-skill-v11x-20260907-guarddiag-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/exceltable-in-ppt
flood-risk-analysis,original_skill_pass,PASS,false,false,0,flood-risk-analysis-original-skill-v11x-20260903-r001-recovery001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/flood-risk-analysis
lake-warming-attribution,original_skill_pass,PASS,false,false,0,lake-warming-attribution-original-skill-v11x-20260903-r001-recovery001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/lake-warming-attribution
offer-letter-generator,original_skill_pass,PASS,false,false,0,offer-letter-generator-original-skill-v11x-20260908-guarddiag-infra-r003,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/offer-letter-generator
paper-anonymizer,ground_truth,FAIL,false,true,3,paper-anonymizer-original-skill-v11x-20260908-guarddiag-infra-r003,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/paper-anonymizer
pdf-excel-diff,original_skill_pass,PASS,false,false,0,pdf-excel-diff-original-skill-v11x-20260903-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/pdf-excel-diff
shock-analysis-demand,excluded_benchmark_issue,FAIL,false,false,0,shock-analysis-demand-original-skill-v11x-20260908-guarddiag-infra-r003,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/shock-analysis-demand
shock-analysis-supply,ground_truth,FAIL,false,true,3,shock-analysis-supply-original-skill-v11x-20260908-guarddiag-infra-r003,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/shock-analysis-supply
spring-boot-jakarta-migration,original_skill_pass,PASS,false,false,0,spring-boot-jakarta-migration-original-skill-v11x-20260903-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/spring-boot-jakarta-migration
threejs-structure-parser,original_skill_pass,PASS,false,false,0,threejs-structure-parser-original-skill-v11x-20260903-r001-recovery001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/threejs-structure-parser
tictoc-unnecessary-abort-detection,original_skill_pass,PASS,false,false,0,tictoc-unnecessary-abort-detection-original-skill-v11x-20260903-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/tictoc-unnecessary-abort-detection
data-to-d3,ground_truth,FAIL,false,true,1,data-to-d3-original-skill-v11x-20260903-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/data-to-d3
dynamic-object-aware-egomotion,ground_truth,FAIL,false,true,3,dynamic-object-aware-egomotion-original-skill-v11x-20260903-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/dynamic-object-aware-egomotion
lab-unit-harmonization,ground_truth,FAIL,false,true,2,lab-unit-harmonization-original-skill-v11x-20260903-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/lab-unit-harmonization
manufacturing-equipment-maintenance,ground_truth,FAIL,false,true,2,manufacturing-equipment-maintenance-original-skill-v11x-20260908-guarddiag-infra-r003,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/manufacturing-equipment-maintenance
manufacturing-fjsp-optimization,original_skill_pass,PASS,false,false,0,manufacturing-fjsp-optimization-original-skill-v11x-20260903-r002,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/manufacturing-fjsp-optimization
multilingual-video-dubbing,ground_truth,FAIL,false,true,1,multilingual-video-dubbing-original-skill-v11x-20260903-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/multilingual-video-dubbing
react-performance-debugging,original_skill_pass,PASS,false,false,0,react-performance-debugging-original-skill-v11x-20260903-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/react-performance-debugging
travel-planning,original_skill_pass,PASS,false,false,0,travel-planning-original-skill-v11x-20260903-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/travel-planning
fix-build-agentops,ground_truth,FAIL,false,true,2,fix-build-agentops-original-skill-v11x-20260903-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/fix-build-agentops
fix-build-google-auto,ground_truth,FAIL,false,true,2,fix-build-google-auto-original-skill-v11x-20260903-r002,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/fix-build-google-auto
flink-query,ground_truth,FAIL,false,true,2,flink-query-original-skill-v11x-20260903-r002,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/flink-query
jpg-ocr-stat,ground_truth,FAIL,false,true,1,jpg-ocr-stat-original-skill-v11x-20260903-r001-recovery001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/jpg-ocr-stat
mars-clouds-clustering,original_skill_pass,PASS,false,false,0,mars-clouds-clustering-original-skill-v11x-20260903-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/mars-clouds-clustering
organize-messy-files,ground_truth,FAIL,false,true,2,organize-messy-files-original-skill-v11x-20260903-r002,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/organize-messy-files
parallel-tfidf-search,original_skill_pass,PASS,false,false,0,parallel-tfidf-search-original-skill-v11x-20260908-guarddiag-infra-r004,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/parallel-tfidf-search
bike-rebalance,ground_truth,FAIL,false,true,1,bike-rebalance-original-skill-v11x-20260908-guarddiag-infra-r003,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/bike-rebalance
energy-ac-optimal-power-flow,original_skill_pass,PASS,false,false,0,energy-ac-optimal-power-flow-original-skill-v11x-20260903-r001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/energy-ac-optimal-power-flow
energy-unit-commitment,ground_truth,FAIL,false,true,2,energy-unit-commitment-original-skill-v11x-20260903-r002,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/energy-unit-commitment
protein-expression-analysis,original_skill_pass,PASS,false,false,0,protein-expression-analysis-original-skill-v11x-20260903-r002,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/protein-expression-analysis
syzkaller-ppdev-syzlang,ground_truth,FAIL,false,true,1,syzkaller-ppdev-syzlang-original-skill-v11x-20260903-r002,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/syzkaller-ppdev-syzlang
seismic-phase-picking,ground_truth,FAIL,false,true,4,seismic-phase-picking-original-skill-v11x-20260903-r001-recovery001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/seismic-phase-picking
earthquake-phase-association,original_skill_pass,PASS,false,false,0,earthquake-phase-association-original-skill-v11x-20260903-r002-recovery001,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/earthquake-phase-association
gravitational-wave-detection,original_skill_pass,PASS,false,false,0,gravitational-wave-detection-original-skill-v11x-20260903-r002,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/gravitational-wave-detection
latex-formula-extraction,original_skill_pass,PASS,false,false,0,latex-formula-extraction-original-skill-v11x-20260903-r002,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/latex-formula-extraction
quantum-numerical-simulation,excluded_benchmark_issue,FAIL,false,false,0,quantum-numerical-simulation-original-skill-v11x-20260908-guarddiag-infra-r003,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/quantum-numerical-simulation
fix-druid-loophole-cve,ground_truth,FAIL,false,true,1,fix-druid-loophole-cve-original-skill-server-r006,evaluation/results/GPT52-AllTasks-RepresentativeRuns-20260916/tasks/fix-druid-loophole-cve
